#,MHz,a,b,kf,Tb
 184,  138.750,   32.643,   24.743,   0.0020,       11474.2
 185,  134.563,   33.886,   24.209,  -0.0012,       13763.9
 186,  129.500,   32.636,   24.162,   0.0006,       14379.4
 187,  125.500,   34.288,   23.646,   0.0013,       13704.3
 188,  122.750,   32.070,   24.668,  -0.0003,       19753.7
 189,  115.438,   31.260,   25.214,  -0.0002,       20566.2
 190,  114.875,   29.027,   25.754,  -0.0002,       29033.1
 191,  114.500,   33.173,   24.751,  -0.0002,       35979.6
 192,  113.750,   33.886,   24.209,  -0.0049,       13763.9
 193,  113.313,   30.802,   25.208,   0.0010,        5938.6
 194,  113.000,   30.714,   24.743,   0.0015,        3703.1
 195,  112.438,   27.912,   24.799,  -0.0018,        3581.1
 196,  111.563,   28.722,   24.253,  -0.0012,        3629.7
 197,  111.500,   27.636,   24.263,  -0.0007,        5313.3
 198,  110.750,   28.076,   24.176,  -0.0001,       18289.2
 199,  110.000,   33.005,   23.703,   0.0006,        2895.7
